School,Name,Position,Year/Class,Status,Date Entered Portal,From Team,To Team,Rating,High School,Profile URL
Connecticut,Tahj Herring-Wilson,CB,SR,Entered,12/06/2019,Avatar,Connecticut,,Suffield Academy,https://www.on3.com/rivals/tahj-herring-wilson-109761/
Colorado State,Adam Korutz,DL,SR,Committed,,Avatar,Boston College,79.45,Johnson City Senior,https://www.on3.com/rivals/adam-korutz-1215/
Colorado State,Elijah Johnson,OT,SR,Committed,,Avatar,Boston College,80.00,DeMatha Catholic,https://www.on3.com/rivals/elijah-johnson-137144/
Colorado State,Brandon Crossley,CB,FR,Entered,7/06/2020,Colorado State,SMU,85.43,Little Elm,https://www.on3.com/rivals/brandon-crossley-12373/
Colorado State,Brandon Crossley,CB,FR,Committed,,Colorado State,SMU Mustangs,85.43,Little Elm,https://www.on3.com/rivals/brandon-crossley-12373/
Colorado State,Elijah Johnson,OT,SR,Entered,5/20/2020,Avatar,Boston College,80.00,DeMatha Catholic,https://www.on3.com/rivals/elijah-johnson-137144/
Colorado State,Brian Polendey,TE,RS-SO,Committed,,Miami,Colorado State Rams,88.37,Guyer,https://www.on3.com/rivals/brian-polendey-14707/
Colorado State,Trey Sutton,LB,RS-JR,Entered,4/07/2020,Avatar,Colorado State,79.30,Westminster Christian School,https://www.on3.com/rivals/trey-sutton-55943/
Colorado State,Adam Korutz,DL,SR,Entered,3/27/2020,Avatar,Boston College,79.45,Johnson City Senior,https://www.on3.com/rivals/adam-korutz-1215/
Colorado State,Todd Centeio,QB,JR,Committed,,Temple,Colorado State Rams,83.13,Dwyer,https://www.on3.com/rivals/todd-centeio-113282/
Colorado State,Brian Polendey,TE,RS-SO,Entered,1/17/2020,Miami,,88.37,Guyer,https://www.on3.com/rivals/brian-polendey-14707/
Colorado State,TJ Storment,OT,RS-JR,Entered,1/14/2020,Avatar,Colorado State,79.27,Statesville,https://www.on3.com/rivals/tj-storment-113158/
Colorado State,Todd Centeio,QB,JR,Entered,1/14/2020,Temple,,83.13,Dwyer,https://www.on3.com/rivals/todd-centeio-113282/
East Carolina,Dorian Hardy,EDGE,SO,Entered,1/27/2022,Avatar,East Carolina,88.00,St. Joseph Regional,https://www.on3.com/rivals/dorian-hardy-38557/
East Carolina,Delvontae Harris,LB,RS-SO,Committed,,East Carolina,West Georgia Wolves,80.27,Newnan,https://www.on3.com/rivals/delvontae-harris-33628/
East Carolina,Delvontae Harris,LB,RS-SO,Entered,5/17/2021,East Carolina,,80.27,Newnan,https://www.on3.com/rivals/delvontae-harris-33628/
East Carolina,Isaiah Kemp,CB,FR,Committed,,Duke,East Carolina Pirates,85.97,Hoggard,https://www.on3.com/rivals/isaiah-kemp-49568/
East Carolina,Isaiah Kemp,CB,FR,Entered,1/03/2020,Duke,,85.97,Hoggard,https://www.on3.com/rivals/isaiah-kemp-49568/
Eastern Michigan,Dimitri Douglas,OT,RS-FR,Committed,,Michigan State,Eastern Michigan Eagles,87.10,Saline,https://www.on3.com/rivals/dimitri-douglas-37079/
Eastern Michigan,Chris Helbig,QB,SO,Committed,,Avatar,Southern Utah,,Holy Family,https://www.on3.com/rivals/chris-helbig-21879/
Eastern Michigan,Samson Evans,RB,RS-FR,Committed,,Iowa,Eastern Michigan Eagles,83.32,Prairie Ridge,https://www.on3.com/rivals/samson-evans-104727/
Eastern Michigan,Samson Evans,RB,RS-FR,Entered,5/18/2020,Iowa,,83.32,Prairie Ridge,https://www.on3.com/rivals/samson-evans-104727/
Eastern Michigan,Dimitri Douglas,OT,RS-FR,Entered,1/01/2020,Michigan State,,87.10,Saline,https://www.on3.com/rivals/dimitri-douglas-37079/
Eastern Michigan,Chris Helbig,QB,SO,Entered,1/01/2020,Avatar,Southern Utah,,Holy Family,https://www.on3.com/rivals/chris-helbig-21879/
FIU,Devontay Love-Taylor,OT,SR,Entered,12/28/2019,Avatar,FIU,77.27,James W. Mitchell,https://www.on3.com/rivals/devontay-love-taylor-36550/
FIU,Devontay Love-Taylor,OT,SR,Committed,,Avatar,FIU,77.27,James W. Mitchell,https://www.on3.com/rivals/devontay-love-taylor-36550/
Florida Atlantic,Meiko Dotson,CB,SR,Entered,4/11/2020,Florida Atlantic,,78.27,Mainland,https://www.on3.com/rivals/meiko-dotson-86931/
Florida Atlantic,Meiko Dotson,CB,SR,Committed,,Florida Atlantic,Florida State Seminoles,78.27,Mainland,https://www.on3.com/rivals/meiko-dotson-86931/
Florida Atlantic,T.J. Chase,WR,RS-JR,Committed,,Avatar,Clemson,92.51,Plant City,https://www.on3.com/rivals/tj-chase-109440/
Florida Atlantic,T.J. Chase,WR,RS-JR,Entered,1/20/2020,Avatar,Clemson,92.51,Plant City,https://www.on3.com/rivals/tj-chase-109440/
Florida Atlantic,Chase Hooper,DL,JR,Entered,1/20/2020,Avatar,Florida Atlantic,80.13,Milton,https://www.on3.com/rivals/chase-hooper-20721/
Florida Atlantic,Khamal Ellison,CB,RS-SO,Entered,11/05/2019,Florida Atlantic,,,Miami Central,https://www.on3.com/rivals/khamal-ellison-74955/
Florida,Jordan Pouncey,WR,RS-SO,Committed,,Texas,Florida Gators,84.10,Winter Park,https://www.on3.com/rivals/jordan-pouncey-65903/
Florida,Dylan Meeks,EDGE,JR,Entered,9/02/2020,Avatar,Akron,80.77,Dr. Phillips,https://www.on3.com/rivals/dylan-meeks-39976/
Florida,Dylan Meeks,EDGE,JR,Committed,,Avatar,Akron,80.77,Dr. Phillips,https://www.on3.com/rivals/dylan-meeks-39976/
Florida,Lorenzo Lingard,RB,SO,Entered,5/30/2020,Miami,,96.71,University,https://www.on3.com/rivals/lorenzo-lingard-80103/
Florida,Lorenzo Lingard,RB,SO,Committed,,Miami,Florida Gators,96.71,University,https://www.on3.com/rivals/lorenzo-lingard-80103/
Florida,Stewart Reese,IOL,RS-JR,Entered,5/16/2020,Mississippi State,,87.67,Fort Pierce Central,https://www.on3.com/rivals/stewart-reese-109160/
Florida,Stewart Reese,IOL,RS-JR,Committed,,Mississippi State,Florida Gators,87.67,Fort Pierce Central,https://www.on3.com/rivals/stewart-reese-109160/
Florida,Justin Shorter,WR,RS-FR,Entered,1/26/2020,Penn State,,98.86,South Brunswick,https://www.on3.com/rivals/justin-shorter-69793/
Florida,Justin Shorter,WR,RS-FR,Committed,,Penn State,Florida Gators,98.86,South Brunswick,https://www.on3.com/rivals/justin-shorter-69793/
Florida,Feleipe Franks,QB,SR,Committed,,Avatar,Florida,95.69,Wakulla,https://www.on3.com/rivals/feleipe-franks-43734/
Florida,Noah Keeter,LB,FR,Committed,,UCLA,Florida Gators,81.23,F. W. Buchholz,https://www.on3.com/rivals/noah-keeter-93636/
Florida,Chris Bleich,IOL,RS-FR,Committed,,Florida,Syracuse Orange,89.00,Wyoming Valley West,https://www.on3.com/rivals/chris-bleich-21342/
Florida,Feleipe Franks,QB,SR,Entered,12/13/2019,Avatar,Florida,95.69,Wakulla,https://www.on3.com/rivals/feleipe-franks-43734/
Florida,Noah Keeter,LB,FR,Entered,12/02/2019,UCLA,,81.23,F. W. Buchholz,https://www.on3.com/rivals/noah-keeter-93636/
Florida,Chris Bleich,IOL,RS-FR,Entered,11/05/2019,Florida,,89.00,Wyoming Valley West,https://www.on3.com/rivals/chris-bleich-21342/
Florida,Jordan Pouncey,WR,RS-SO,Entered,10/31/2019,Texas,,84.10,Winter Park,https://www.on3.com/rivals/jordan-pouncey-65903/
Florida State,D.J. Matthews,WR,JR,Entered,9/15/2020,Florida State,,96.31,Trinity Christian Academy,https://www.on3.com/rivals/dj-matthews-27600/
Florida State,Jarrian Jones,CB,FR,Entered,6/01/2020,Mississippi State,,91.05,Northwest Rankin,https://www.on3.com/rivals/jarrian-jones-142474/
Florida State,Jarrian Jones,CB,FR,Committed,,Mississippi State,Florida State Seminoles,91.05,Northwest Rankin,https://www.on3.com/rivals/jarrian-jones-142474/
Florida State,Fabien Lovett,DL,SO,Committed,,Mississippi State,Florida State Seminoles,88.73,Olive Branch,https://www.on3.com/rivals/fabien-lovett-43643/
Florida State,Fabien Lovett,DL,SO,Entered,4/13/2020,Mississippi State,,88.73,Olive Branch,https://www.on3.com/rivals/fabien-lovett-43643/
Florida State,Meiko Dotson,CB,SR,Entered,4/11/2020,Florida Atlantic,,78.27,Mainland,https://www.on3.com/rivals/meiko-dotson-86931/
Florida State,Meiko Dotson,CB,SR,Committed,,Florida Atlantic,Florida State Seminoles,78.27,Mainland,https://www.on3.com/rivals/meiko-dotson-86931/
Florida State,Deonte Williams,EDGE,RS-JR,Committed,,Baylor,Florida State Seminoles,88.03,Prestonwood Christian,https://www.on3.com/rivals/deonte-williams-34552/
Florida State,Tylus Hancock,S,RS-FR,Entered,3/07/2020,Louisville,,,Lassiter,https://www.on3.com/rivals/tylus-hancock-118304/
Florida State,Tylus Hancock,S,RS-FR,Committed,,Louisville,Florida State Seminoles,,Lassiter,https://www.on3.com/rivals/tylus-hancock-118304/
Florida State,Tre'Shaun Harrison,WR,SO,Entered,1/07/2020,Florida State,,92.99,Garfield,https://www.on3.com/rivals/treshaun-harrison-115125/
Florida State,Deonte Williams,EDGE,RS-JR,Entered,1/02/2020,Baylor,,88.03,Prestonwood Christian,https://www.on3.com/rivals/deonte-williams-34552/
Florida State,Jashaun Corbin,RB,SO,Entered,12/28/2019,Texas A&M,,90.16,Rockledge,https://www.on3.com/rivals/jashaun-corbin-57349/
Florida State,Devontay Love-Taylor,OT,SR,Entered,12/28/2019,Avatar,FIU,77.27,James W. Mitchell,https://www.on3.com/rivals/devontay-love-taylor-36550/
Florida State,Jashaun Corbin,RB,SO,Committed,,Texas A&M,Florida State Seminoles,90.16,Rockledge,https://www.on3.com/rivals/jashaun-corbin-57349/
Florida State,Devontay Love-Taylor,OT,SR,Committed,,Avatar,FIU,77.27,James W. Mitchell,https://www.on3.com/rivals/devontay-love-taylor-36550/
Fresno State,Justin Rice,LB,RS-JR,Committed,,Fresno State,Arkansas State Red Wolves,80.60,Central Catholic,https://www.on3.com/rivals/justin-rice-69714/
Fresno State,Justin Rice,LB,RS-JR,Entered,8/14/2020,Fresno State,,80.60,Central Catholic,https://www.on3.com/rivals/justin-rice-69714/
Fresno State,Paul Matavao-Poialii,IOL,FR,Committed,,Baylor,Fresno State Bulldogs,82.93,Jefferson,https://www.on3.com/rivals/paul-matavao-poialii-95758/
Fresno State,Paul Matavao-Poialii,IOL,FR,Entered,5/21/2020,Baylor,,82.93,Jefferson,https://www.on3.com/rivals/paul-matavao-poialii-95758/
Fresno State,Peyton Dixon,RB,FR,Committed,,Avatar,Fresno State,80.77,Bishop Manogue,https://www.on3.com/rivals/peyton-dixon-96283/
Fresno State,Peyton Dixon,RB,FR,Entered,12/07/2019,Avatar,Fresno State,80.77,Bishop Manogue,https://www.on3.com/rivals/peyton-dixon-96283/
Fresno State,Kurtis Brown,DL,JR,Entered,2/25/2019,Avatar,Fresno State,85.20,Liberty,https://www.on3.com/rivals/kurtis-brown-76223/
Georgia,Steven Peterson,WR,SO,Committed,,Mercer,Georgia Bulldogs,80.50,Harrison,https://www.on3.com/rivals/steven-peterson-109050/
Georgia,Makiya Tongue,WR,FR,Entered,12/19/2020,Georgia,,90.92,University Lab,https://www.on3.com/rivals/makiya-tongue-81393/
Georgia,Divaad Wilson,CB,RS-FR,Committed,,Georgia,UCF Knights,90.70,Northwestern,https://www.on3.com/rivals/divaad-wilson-37229/
Georgia,Divaad Wilson,CB,RS-FR,Entered,7/20/2020,Georgia,,90.70,Northwestern,https://www.on3.com/rivals/divaad-wilson-37229/
Georgia,JT Daniels,QB,SO,Entered,5/29/2020,USC,,97.81,Mater Dei,https://www.on3.com/rivals/jt-daniels-68384/
Georgia,JT Daniels,QB,SO,Committed,,USC,Georgia Bulldogs,97.81,Mater Dei,https://www.on3.com/rivals/jt-daniels-68384/
Georgia,Otis Reese,S,SO,Entered,1/18/2020,Georgia,,94.87,Lee County,https://www.on3.com/rivals/otis-reese-94732/
Georgia,Otis Reese,S,SO,Committed,,Georgia,Ole Miss Rebels,94.87,Lee County,https://www.on3.com/rivals/otis-reese-94732/
Georgia,Cade Mays,OT,SO,Entered,1/09/2020,Georgia,,96.99,Knoxville Catholic,https://www.on3.com/rivals/cade-mays-16625/
Georgia,Cade Mays,OT,SO,Committed,,Georgia,Tennessee Volunteers,96.99,Knoxville Catholic,https://www.on3.com/rivals/cade-mays-16625/
Georgia,Steven Peterson,WR,SO,Entered,12/10/2019,Mercer,,80.50,Harrison,https://www.on3.com/rivals/steven-peterson-109050/
Georgia State,Connor Robbins,OT,RS-SO,Committed,,Avatar,Georgia State,81.30,Pedro Menendez,https://www.on3.com/rivals/connor-robbins-25695/
Georgia State,Connor Robbins,OT,RS-SO,Entered,7/02/2020,Avatar,Georgia State,81.30,Pedro Menendez,https://www.on3.com/rivals/connor-robbins-25695/
Georgia State,Chris Moore,S,SR,Committed,,Avatar,Virginia,80.38,Broad Run,https://www.on3.com/rivals/chris-moore-22175/
Georgia State,Chris Moore,S,SR,Entered,4/01/2020,Avatar,Virginia,80.38,Broad Run,https://www.on3.com/rivals/chris-moore-22175/
Georgia State,Noel Ruiz,K,JR,Entered,3/25/2020,Avatar,North Carolina A&T,,Fike,https://www.on3.com/rivals/noel-ruiz-93827/
Georgia State,Noel Ruiz,K,JR,Committed,,Avatar,North Carolina A&T,,Fike,https://www.on3.com/rivals/noel-ruiz-93827/
Georgia State,Jamyest Williams,CB,JR,Committed,,Avatar,South Carolina,94.83,Grayson,https://www.on3.com/rivals/jamyest-williams-56350/
Georgia State,Jamyest Williams,CB,JR,Entered,9/24/2019,Avatar,South Carolina,94.83,Grayson,https://www.on3.com/rivals/jamyest-williams-56350/
Georgia Southern,Elijah Campbell,DL,RS-FR,Entered,9/15/2020,Avatar,Georgia Southern,80.27,Gadsden City,https://www.on3.com/rivals/elijah-campbell-41114/
Georgia Southern,Ephraim Kitchen,CB,RS-JR,Committed,,Avatar,Louisiana Tech,82.00,South Panola,https://www.on3.com/rivals/ephraim-kitchen-41916/
Georgia Southern,Ephraim Kitchen,CB,RS-JR,Entered,3/01/2020,Avatar,Louisiana Tech,82.00,South Panola,https://www.on3.com/rivals/ephraim-kitchen-41916/
Georgia Southern,Javon Jackson,S,SR,Committed,,Avatar,Duke,85.60,Sandy Creek,https://www.on3.com/rivals/javon-jackson-138987/
Georgia Southern,Miller Mosley,QB,RS-JR,Committed,,Avatar,Wofford,78.27,St. Paul's Episcopal,https://www.on3.com/rivals/miller-mosley-89770/
Georgia Southern,Javon Jackson,S,SR,Entered,12/02/2019,Avatar,Duke,85.60,Sandy Creek,https://www.on3.com/rivals/javon-jackson-138987/
Georgia Southern,Miller Mosley,QB,RS-JR,Entered,11/20/2019,Avatar,Wofford,78.27,St. Paul's Episcopal,https://www.on3.com/rivals/miller-mosley-89770/
Georgia Southern,Elijah Campbell,DL,RS-FR,Committed,,Avatar,Georgia Southern,80.27,Gadsden City,https://www.on3.com/rivals/elijah-campbell-41114/
Georgia Tech,Christian Malloy,RB,RS-FR,Committed,,Georgia Tech,Coastal Carolina Chanticleers,79.00,Parkview,https://www.on3.com/rivals/christian-malloy-23020/
Georgia Tech,Brenton King,K,JR,Entered,6/11/2020,Georgia Tech,,78.72,Mill Creek,https://www.on3.com/rivals/brenton-king-14018/
Georgia Tech,Christian Malloy,RB,RS-FR,Entered,5/04/2020,Georgia Tech,Coastal Carolina,79.00,Parkview,https://www.on3.com/rivals/christian-malloy-23020/
Georgia Tech,Lucas Johnson,QB,RS-JR,Committed,,Avatar,Georgia Tech,80.24,Mt. Carmel,https://www.on3.com/rivals/lucas-johnson-141473/
Georgia Tech,Devin Cochran,OT,RS-JR,Committed,,Vanderbilt,Georgia Tech Yellow Jackets,87.07,Greater Atlanta Christian School,https://www.on3.com/rivals/devin-cochran-35956/
Georgia Tech,Devin Cochran,OT,RS-JR,Entered,1/26/2020,Vanderbilt,Georgia Tech,87.07,Greater Atlanta Christian School,https://www.on3.com/rivals/devin-cochran-35956/
Georgia Tech,Lucas Johnson,QB,RS-JR,Entered,1/06/2020,Avatar,Georgia Tech,80.24,Mt. Carmel,https://www.on3.com/rivals/lucas-johnson-141473/
Georgia Tech,Ryan Johnson,IOL,RS-JR,Committed,,Tennessee,Georgia Tech Yellow Jackets,90.76,Brentwood Academy,https://www.on3.com/rivals/ryan-johnson-137945/
Georgia Tech,Ryan Johnson,IOL,RS-JR,Entered,12/16/2019,Tennessee,,90.76,Brentwood Academy,https://www.on3.com/rivals/ryan-johnson-137945/
Georgia Tech,Kendall Young,LB,FR,Entered,12/09/2019,Georgia Tech,,,Bentonville West,https://www.on3.com/rivals/kendall-young-72828/
Hawaii,Zach Daniel,QB,FR,Entered,4/16/2021,Avatar,Hawaii,78.95,The Kinkaid School,https://www.on3.com/rivals/zach-daniel-122667/
Hawaii,Zach Daniel,QB,FR,Committed,,Avatar,Hawaii,78.95,The Kinkaid School,https://www.on3.com/rivals/zach-daniel-122667/
Hawaii,Isaiah Floyd,RB,SR,Committed,,Arizona State,Hawaii Rainbow Warriors,83.27,Foothill,https://www.on3.com/rivals/isaiah-floyd-49480/
Hawaii,Rico Bussey,WR,SR,Committed,,Avatar,North Texas,80.32,Lawton,https://www.on3.com/rivals/rico-bussey-100391/
Hawaii,Adam Stack,K,JR,Committed,,Avatar,Oregon,79.02,Kamehameha,https://www.on3.com/rivals/adam-stack-1354/
Hawaii,Rico Bussey,WR,SR,Entered,2/12/2020,Avatar,North Texas,80.32,Lawton,https://www.on3.com/rivals/rico-bussey-100391/
Hawaii,Fred Holly,RB,RS-JR,Entered,12/09/2019,Avatar,Hawaii,85.80,Norte Vista,https://www.on3.com/rivals/fred-holly-44220/
Hawaii,Isaiah Floyd,RB,SR,Entered,10/22/2019,Arizona State,,83.27,Foothill,https://www.on3.com/rivals/isaiah-floyd-49480/
Hawaii,Adam Stack,K,JR,Entered,9/09/2019,Avatar,Oregon,79.02,Kamehameha,https://www.on3.com/rivals/adam-stack-1354/
Houston,Julon Williams,WR,RS-FR,Committed,,Houston,UTSA Roadrunners,85.73,Judson,https://www.on3.com/rivals/julon-williams-68820/
Houston,Jarrid Williams,OT,SR,Committed,,Houston,Miami Hurricanes,76.05,Cedar Hill,https://www.on3.com/rivals/jarrid-williams-57170/
Houston,Julon Williams,WR,RS-FR,Entered,6/05/2020,Houston,,85.73,Judson,https://www.on3.com/rivals/julon-williams-68820/
Houston,Jarrid Williams,OT,SR,Entered,4/29/2020,Houston,,76.05,Cedar Hill,https://www.on3.com/rivals/jarrid-williams-57170/
Houston,Johnathan Phenix,S,RS-FR,Committed,,Avatar,Houston,78.27,McGregor,https://www.on3.com/rivals/johnathan-phenix-63880/
Houston,D'Eriq King,QB,SR,Entered,1/20/2020,Houston,,89.71,Manvel,https://www.on3.com/rivals/deriq-king-27387/
Houston,Johnathan Phenix,S,RS-FR,Entered,1/20/2020,Avatar,Houston,78.27,McGregor,https://www.on3.com/rivals/johnathan-phenix-63880/
Houston,D'Eriq King,QB,SR,Committed,,Houston,Miami Hurricanes,89.71,Manvel,https://www.on3.com/rivals/deriq-king-27387/
Houston,JoVanni Stewart,S,SR,Committed,,West Virginia,Houston Cougars,78.00,Katy,https://www.on3.com/rivals/jovanni-stewart-68308/
Houston,JoVanni Stewart,S,SR,Entered,10/08/2019,West Virginia,,78.00,Katy,https://www.on3.com/rivals/jovanni-stewart-68308/
Idaho,Mekhi Stevenson,WR,RS-JR,Committed,,Avatar,UNLV,80.77,Helix,https://www.on3.com/rivals/mekhi-stevenson-86966/
Idaho,Mekhi Stevenson,WR,RS-JR,Entered,12/31/2020,Avatar,UNLV,80.77,Helix,https://www.on3.com/rivals/mekhi-stevenson-86966/
Illinois,Khmari Thompson,WR,RS-FR,Committed,,Missouri,Illinois Fighting Illini,84.07,Central Gwinnett,https://www.on3.com/rivals/khmari-thompson-75042/
Illinois,Khmari Thompson,WR,RS-FR,Entered,7/07/2020,Missouri,,84.07,Central Gwinnett,https://www.on3.com/rivals/khmari-thompson-75042/
Indiana,Cole Gest,RB,RS-JR,Committed,,Avatar,Indiana,81.93,St. Edward,https://www.on3.com/rivals/cole-gest-24698/
Indiana,Cole Gest,RB,RS-JR,Entered,10/10/2019,Avatar,Indiana,81.93,St. Edward,https://www.on3.com/rivals/cole-gest-24698/
Iowa,Oliver Martin,WR,JR,Committed,,Iowa,Nebraska Cornhuskers,92.74,Iowa City West,https://www.on3.com/rivals/oliver-martin-94315/
Iowa,Oliver Martin,WR,JR,Entered,8/07/2020,Iowa,,92.74,Iowa City West,https://www.on3.com/rivals/oliver-martin-94315/
Iowa,Samson Evans,RB,RS-FR,Committed,,Iowa,Eastern Michigan Eagles,83.32,Prairie Ridge,https://www.on3.com/rivals/samson-evans-104727/
Iowa,Dillon Doyle,LB,RS-FR,Entered,6/18/2020,Iowa,,85.40,Iowa City West,https://www.on3.com/rivals/dillon-doyle-36997/
Iowa,Dillon Doyle,LB,RS-FR,Committed,,Iowa,Baylor Bears,85.40,Iowa City West,https://www.on3.com/rivals/dillon-doyle-36997/
Iowa,Samson Evans,RB,RS-FR,Entered,5/18/2020,Iowa,,83.32,Prairie Ridge,https://www.on3.com/rivals/samson-evans-104727/
Jacksonville State,Josh Samuel,RB,JR,Committed,,Avatar,Western Kentucky,79.27,Central Gwinnett,https://www.on3.com/rivals/josh-samuel-67547/
Jacksonville State,Josh Samuel,RB,JR,Entered,12/05/2019,Avatar,Western Kentucky,79.27,Central Gwinnett,https://www.on3.com/rivals/josh-samuel-67547/
Iowa State,Richard Bowens III,S,JR,Committed,,Iowa State,Central Michigan Chippewas,84.93,St. Mary's,https://www.on3.com/rivals/richard-bowens-iii-99898/
Iowa State,Keontae Jones,CB,RS-SO,Committed,,Iowa State,Western Illinois Leathernecks,87.43,Colerain,https://www.on3.com/rivals/keontae-jones-141948/
Iowa State,Keontae Jones,CB,RS-SO,Entered,6/29/2020,Iowa State,,87.43,Colerain,https://www.on3.com/rivals/keontae-jones-141948/
Iowa State,Re-al Mitchell,QB,RS-FR,Committed,,Iowa State,Temple Owls,84.03,St. John Bosco,https://www.on3.com/rivals/re-al-mitchell-99117/
Iowa State,Richard Bowens III,S,JR,Entered,5/08/2020,Iowa State,,84.93,St. Mary's,https://www.on3.com/rivals/richard-bowens-iii-99898/
Iowa State,Re-al Mitchell,QB,RS-FR,Entered,1/25/2020,Iowa State,,84.03,St. John Bosco,https://www.on3.com/rivals/re-al-mitchell-99117/
Iowa State,Leonard Glass,RB,FR,Entered,10/30/2019,Iowa State,,80.39,San Joaquin Memorial,https://www.on3.com/rivals/leonard-glass-79091/
Kansas State,Logan Wilson,CB,FR,Committed,,Kansas State,Louisiana Monroe Warhawks,83.02,Bishop Dunne,https://www.on3.com/rivals/logan-wilson-79931/
Kansas State,Logan Wilson,CB,FR,Entered,1/01/2020,Kansas State,,83.02,Bishop Dunne,https://www.on3.com/rivals/logan-wilson-79931/
Kansas State,Kenyon Reed,CB,FR,Committed,,Kansas State,San Jose State Spartans,81.27,Long Beach Poly,https://www.on3.com/rivals/kenyon-reed-73565/
Kansas State,Kenyon Reed,CB,FR,Entered,10/17/2019,Kansas State,,81.27,Long Beach Poly,https://www.on3.com/rivals/kenyon-reed-73565/
Kent State,Juan Wallace,LB,SO,Committed,,Syracuse,Kent State Golden Flashes,83.20,IMG Academy,https://www.on3.com/rivals/juan-wallace-68461/
Kent State,Nick Curtis,LB,FR,Committed,,Kent State,Auburn Tigers,,Hoover,https://www.on3.com/rivals/nick-curtis-92423/
Kent State,CJ Holmes,S,RS-SO,Committed,,Avatar,Notre Dame,89.56,Cheshire Academy,https://www.on3.com/rivals/cj-holmes-23620/
Kent State,Nick Curtis,LB,FR,Entered,6/15/2020,Kent State,,,Hoover,https://www.on3.com/rivals/nick-curtis-92423/
Kent State,CJ Holmes,S,RS-SO,Entered,6/09/2020,Avatar,Notre Dame,89.56,Cheshire Academy,https://www.on3.com/rivals/cj-holmes-23620/
Kent State,Tony Butler,CB,SR,Committed,,Avatar,Nebraska,87.20,St. Edward,https://www.on3.com/rivals/tony-butler-113801/
Kent State,Isaiah Wooden,WR,SO,Committed,,Avatar,Utah Tech,,Helix,https://www.on3.com/rivals/isaiah-wooden-49878/
Kent State,Juan Wallace,LB,SO,Entered,5/18/2020,Syracuse,,83.20,IMG Academy,https://www.on3.com/rivals/juan-wallace-68461/
Kent State,Derek Adams,P,SR,Entered,1/17/2020,Kent State,Northwestern,76.11,Manheim Central,https://www.on3.com/rivals/derek-adams-34629/
Kent State,Tony Butler,CB,SR,Entered,1/01/2020,Avatar,Nebraska,87.20,St. Edward,https://www.on3.com/rivals/tony-butler-113801/
Kent State,Isaiah Wooden,WR,SO,Entered,1/01/2020,Avatar,Utah Tech,,Helix,https://www.on3.com/rivals/isaiah-wooden-49878/
Kentucky,Rayshad Lewis,WR,SR,Entered,8/06/2020,Avatar,Maryland,78.27,Bishop Moore Catholic,https://www.on3.com/rivals/rayshad-lewis-99065/
Kentucky,Rayshad Lewis,WR,SR,Committed,,Avatar,Maryland,78.27,Bishop Moore Catholic,https://www.on3.com/rivals/rayshad-lewis-99065/
Kentucky,Grant McKinniss,P,RS-JR,Entered,6/26/2020,Kentucky,,79.08,Findlay,https://www.on3.com/rivals/grant-mckinniss-46530/
Kentucky,Grant McKinniss,P,RS-JR,Committed,,Kentucky,Missouri Tigers,79.08,Findlay,https://www.on3.com/rivals/grant-mckinniss-46530/
Kentucky,Xavier Peters,LB,RS-FR,Entered,6/20/2020,Kentucky,,82.92,Lakota West,https://www.on3.com/rivals/xavier-peters-122115/
Kentucky,Cavon Butler,DL,FR,Committed,,Kentucky,Toledo Rockets,85.63,Whitmer,https://www.on3.com/rivals/cavon-butler-19212/
Kentucky,Cavon Butler,DL,FR,Entered,5/05/2020,Kentucky,,85.63,Whitmer,https://www.on3.com/rivals/cavon-butler-19212/
Liberty,Skyler Thomas,S,SR,Committed,,Avatar,Washington State,80.09,Citrus Hill,https://www.on3.com/rivals/skyler-thomas-107734/
Liberty,Rashaad Harding,LB,JR,Committed,,Avatar,Louisiana Monroe,81.77,Carencro,https://www.on3.com/rivals/rashaad-harding-98460/
Liberty,Skyler Thomas,S,SR,Entered,10/14/2020,Avatar,Washington State,80.09,Citrus Hill,https://www.on3.com/rivals/skyler-thomas-107734/
Liberty,Rashaad Harding,LB,JR,Entered,9/15/2020,Avatar,Louisiana Monroe,81.77,Carencro,https://www.on3.com/rivals/rashaad-harding-98460/
Liberty,Kei'Trel Clark,CB,FR,Committed,,Liberty,Louisville Cardinals,,Manchester,https://www.on3.com/rivals/keitrel-clark-71933/
Liberty,Kei'Trel Clark,CB,FR,Entered,6/22/2020,Liberty,,,Manchester,https://www.on3.com/rivals/keitrel-clark-71933/
Liberty,Bryce Mathews,OT,SR,Committed,,Avatar,Ole Miss,90.62,Brentwood Academy,https://www.on3.com/rivals/bryce-mathews-15847/
Liberty,Chris Ferguson,QB,SR,Committed,,Avatar,Maine,,La Salle College,https://www.on3.com/rivals/chris-ferguson-21705/
Liberty,Anthony Butler,LB,SR,Committed,,Avatar,Charlotte,79.27,Chambers,https://www.on3.com/rivals/anthony-butler-5941/
Liberty,Bryce Mathews,OT,SR,Entered,12/02/2019,Avatar,Ole Miss,90.62,Brentwood Academy,https://www.on3.com/rivals/bryce-mathews-15847/
Liberty,Chris Ferguson,QB,SR,Entered,11/25/2019,Avatar,Maine,,La Salle College,https://www.on3.com/rivals/chris-ferguson-21705/
Liberty,Anthony Butler,LB,SR,Entered,9/09/2019,Avatar,Charlotte,79.27,Chambers,https://www.on3.com/rivals/anthony-butler-5941/
Liberty,Tim Glass,S,SR,Committed,,Avatar,NC State,83.17,Liberty Christian Academy,https://www.on3.com/rivals/tim-glass-112707/
