RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Tackles', 'SOLO')","('Tackles', 'AST')","('Tackles', 'TOT')","('Sacks', 'SACK')","('Sacks', 'YDS')","('Interceptions', 'PD')","('Interceptions', 'INT')","('Interceptions', 'YDS')","('Interceptions', 'LNG')","('Interceptions', 'TD')","('Unnamed: 11_level_0', 'FF')"
158,Laletia Hale,JVST,LB,26,54,80,3.5,22,3,0,0,0,0,3
158,Ike Larsen,USU,S,55,25,80,0.0,0,9,1,0,0,0,0
158,Donovan Ezeiruaku,BC,EDGE,37,43,80,16.5,91,1,0,0,0,0,3
158,Nic Mitchell,MSST,LB,24,56,80,0.0,0,2,1,21,21,0,0
158,Trey Fields,SHSU,LB,53,27,80,1.0,9,1,0,0,0,0,0
158,Sammy Brown,CLEM,LB,48,32,80,5.0,33,3,0,0,0,0,0
158,CJ Heard,FAU,S,53,27,80,0.0,0,1,0,0,0,0,1
158,Scotty Edwards,STAN,S,46,34,80,0.0,0,2,0,0,0,0,0
158,CJ Christian,FIU,S,40,40,80,0.0,0,3,1,0,0,0,1
171,Trevian Thomas,ARST,S,46,33,79,0.0,0,4,5,17,11,0,0
171,Henry Blackburn,CSU,DB,49,30,79,0.5,3,3,1,0,0,0,1
171,Joseph Sipp Jr.,BGSU,LB,42,37,79,7.0,31,2,0,0,0,0,0
171,Trey Lathan,WVU,LB,40,39,79,2.0,14,0,0,0,0,0,1
175,George Udo,BALL,DB,44,34,78,0.5,2,1,1,0,0,0,1
175,Jacob Wahlberg,WMU,LB,32,46,78,1.0,4,1,0,0,0,0,0
175,Langston Patterson,VAN,LB,38,40,78,0.0,0,2,0,0,0,0,0
175,C.J. Baskerville,TTU,S,52,26,78,0.0,0,4,4,0,0,0,0
175,Jordan Brown,UNT,LB,25,53,78,0.5,8,0,0,0,0,0,0
175,Doneiko Slaughter,ARK,DB,44,34,78,1.0,6,6,1,0,0,0,1
175,Drayk Bowen,ND,LB,40,38,78,1.0,12,2,0,0,0,0,3
175,Michael Taaffe,TEX,DB,40,38,78,2.0,15,10,2,9,9,0,1
175,Xavier Smith,UTEP,S,33,45,78,0.0,0,5,0,0,0,0,0
184,Tristan Sinclair,STAN,LB,40,37,77,2.0,19,1,0,0,0,0,0
184,Malaki Starks,UGA,S,52,25,77,0.0,0,3,1,0,0,0,0
184,Daveon Crouch,BC,LB,34,43,77,2.0,13,4,0,0,0,0,2
184,Dustin Johnson,OHIO,S,46,31,77,0.0,0,4,0,0,0,0,0
184,Reid Williford,CLT,LB,44,33,77,2.0,24,2,0,0,0,0,0
184,Jalen Stewart,MASS,LB,27,50,77,2.5,14,2,0,0,0,0,0
184,Brendan Jackson,TROY,LB,38,39,77,2.0,18,3,0,0,0,0,0
184,Zechariah Poyser,JVST,DB,49,28,77,0.0,0,8,3,0,0,0,0
184,Dimitri Johnson,UNM,DL,31,46,77,2.0,9,2,1,3,3,0,0
193,RJ Mickens,CLEM,S,44,32,76,0.0,0,7,2,6,6,0,0
193,Caleb McCullough,ASU,LB,41,35,76,1.0,8,1,2,11,11,0,0
193,Kitan Crawford,NEV,S,42,34,76,0.0,0,6,2,67,52,1,1
193,Power Echols,UNC,LB,43,33,76,0.5,1,6,1,42,42,1,0
193,Deontae Lawson,ALA,LB,36,40,76,2.0,21,4,1,0,0,0,1
193,Tyrone Lewis Jr.,UL,S,38,38,76,0.5,4,2,4,2,2,0,0
193,Paul Lewis III,AKR,DB,42,34,76,0.0,0,5,0,0,0,0,1
193,Connor Shay,WYO,LB,45,31,76,1.5,10,3,1,0,0,0,0
193,Taariq Al-Uqdah,WSU,LB,51,25,76,0.0,0,2,3,73,29,1,3
193,Jordan Stringer,TROY,LB,34,42,76,2.0,15,0,1,0,0,0,1
193,Kory Chapman,UTEP,S,36,40,76,3.0,19,0,2,48,25,0,0
193,Mike Edwards III,ECU,LB,26,50,76,0.5,4,4,0,0,0,0,0
193,Devyn Bobby,BAY,S,51,25,76,0.0,0,2,3,21,21,0,0
193,CJ Allen,UGA,LB,49,27,76,0.0,0,4,1,8,8,0,0
193,Stanquan Clark,LOU,LB,43,33,76,0.5,1,2,2,0,0,0,2
193,Kalib Fortner,ARMY,LB,40,36,76,2.0,14,3,0,0,0,0,0
193,Amare Campbell,UNC,LB,45,31,76,6.5,40,2,0,0,0,0,1
193,TJ Dottery,MISS,LB,42,34,76,2.0,3,1,0,0,0,0,1
211,Gavin Potter,TLSA,LB,37,38,75,1.0,7,0,0,0,0,0,0
211,Lathan Ransom,OSU,S,46,29,75,1.0,2,2,1,24,24,0,3
211,Shane Bruce,CCU,LB,26,49,75,0.0,0,1,1,0,0,0,0
211,Shaquan Loyal,RUTG,DB,46,29,75,1.0,4,5,2,24,24,0,0
