RK,NAME,TEAM,PUNTS,YDS,LNG,AVG,NET
51,Ben Kiernan,UNC,45,1966,56,43.7,38.4
52,Mason Hunt,USM,71,3098,63,43.6,40.5
53,Tyler Sumpter,WVU,52,2261,72,43.5,39.9
54,Eddie Czaplicki,ASU,45,1954,62,43.4,40.2
55,William Przystup,NEB,31,1345,84,43.4,40.3
56,Ryan Sanborn,STAN,60,2600,60,43.3,38.5
57,Jordy Sandy,TCU,43,1861,64,43.3,41.7
58,Reid Bauer,ARK,58,2510,61,43.3,40.0
59,Jack Brooks,USA,53,2292,66,43.2,39.5
60,Jay Bramblett,ND,58,2502,72,43.1,40.7
61,Tom Snee,ORE,44,1897,65,43.1,38.0
62,Jamieson Sheahan,CAL,53,2284,64,43.1,40.2
63,Joel Velazquez,BSU,51,2196,62,43.1,40.1
63,Luke Akers,UCLA,34,1464,66,43.1,37.9
65,Ethan Slike,AKR,49,2109,60,43.0,38.6
66,Jonn Young,ECU,48,2062,59,43.0,41.4
67,Mason Fletcher,CIN,50,2147,54,42.9,41.6
68,Nick Mihalic,WMU,46,1971,58,42.8,34.2
69,Nathan Snyder,BALL,55,2355,69,42.8,41.6
70,Kyle Greenwell,UAB,59,2525,73,42.8,38.9
70,Kai Kroeger,SC,59,2525,73,42.8,40.0
72,Aaron Rodriguez,UNM,81,3466,61,42.8,38.5
73,Nick Haberer,WSU,52,2225,60,42.8,38.7
74,Alex Mastromanno,FSU,61,2606,65,42.7,41.0
75,Charlie Mendes,RICE,59,2520,66,42.7,37.4
76,Riley Riethman,NAVY,44,1878,65,42.7,37.8
77,Avery Atkins,LSU,62,2639,56,42.6,39.1
78,Harrison Smith,VAN,73,3107,66,42.6,38.2
79,Ralph Fawaz,WYO,58,2466,76,42.5,39.7
80,Luke Magliozzi,TROY,61,2593,65,42.5,38.4
81,Stephen Kotsanlee,USU,53,2252,54,42.5,40.4
82,Tom Hutton,OKST,72,3056,60,42.4,40.6
83,Bailey Rice,CLT,40,1688,65,42.2,40.7
84,Carson King,FRES,56,2359,71,42.1,39.8
85,Adam Barry,TEM,63,2643,58,42.0,37.7
86,James Evans,IU,69,2889,62,41.9,38.2
87,Michael Hayes II,GAST,58,2428,66,41.9,38.8
88,Laine Wilkins,HOU,59,2467,56,41.8,39.6
89,Mark Vassett,LOU,49,2047,73,41.8,39.6
90,Mark Crawford,MINN,47,1961,60,41.7,40.9
91,Brendan Hall,SMU,36,1502,67,41.7,38.1
92,Matt Naranjo,BGSU,65,2704,77,41.6,38.5
93,David Shanahan,GT,61,2533,71,41.5,36.1
94,Cesar Barajas,LT/SOU,54,2242,71,41.5,37.4
95,Derek Adams,NU,58,2408,58,41.5,38.4
96,Josh Carlson,NMSU,71,2946,67,41.5,38.0
97,Matthew Shipley,HAW,55,2281,54,41.5,38.7
98,Will Spiers,CLEM,63,2611,58,41.4,39.7
99,Grant McKinniss,MIZ,49,2027,60,41.4,39.6
100,Kirk Christodoulou,PITT,61,2523,58,41.4,38.8
101,Luke Elzinga,CMU,57,2355,62,41.3,38.5
102,Devyn McCormick,ULM/AVE,69,2845,56,41.2,38.2
103,Andrew Osteen,UCF,71,2919,56,41.1,38.2
104,Xavier Subotsch,APP,49,2007,57,41.0,39.5
105,Reis Vernon,KU,49,1981,59,40.4,35.5
106,Robert Lefevre,MRSH,61,2465,61,40.4,38.4
107,Bailey Flint,TOL,64,2578,68,40.3,36.1
108,Evan Silva,UNLV,52,2092,56,40.2,36.5
109,Joshua Sloan,UTEP,63,2527,62,40.1,37.0
110,Joe McFadden,CONN,61,2426,56,39.8,38.1
111,Ethan Duane,ODU,58,2294,60,39.6,36.4
112,James Williams,SYR,39,1536,60,39.4,36.5
113,Dom Dzioban,M-OH,52,2047,53,39.4,37.6
114,James Burnip,ALA,48,1878,50,39.1,37.6
115,Andrew Stokes,USF,56,2183,66,39.0,35.9
116,Seamus O'Kelly,TXST,60,2303,53,38.4,37.0
117,Jack Ansell,PUR,44,1683,54,38.3,36.5
118,Charles Ouverson,CCU,40,1493,53,37.3,36.3
119,Josh Smith,KENT,52,1881,57,36.2,34.5
