RK,NAME,TEAM,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
431,Michael Turk,OU,2,3,66.7,5,1.7,3,1,0,0,190.7
431,Alex Orji,MICH,1,1,100.0,5,5.0,5,0,0,0,142.0
433,Isaiah Bowser,UCF,2,2,100.0,4,2.0,4,1,0,0,281.8
433,Andy Maddox,MICH,1,1,100.0,4,4.0,4,0,0,0,133.6
433,Jordan Watkins,MISS,1,1,100.0,4,4.0,4,0,0,0,133.6
436,Samson Evans,EMU,1,1,100.0,3,3.0,3,1,0,0,455.2
436,Shemar Thornton,NIU,1,1,100.0,3,3.0,3,1,0,0,455.2
436,Will Derrick,ULM,1,1,100.0,3,3.0,3,1,0,0,455.2
436,Drew Carter,COLO,1,4,25.0,3,0.8,3,0,0,2,31.3
436,Dalen Cobb,GASO,1,2,50.0,3,1.5,3,0,0,0,62.6
441,Wyatt Rector,FSU,1,1,100.0,2,2.0,2,1,0,0,446.8
441,Jaden Nixon,OKST,1,1,100.0,2,2.0,2,0,0,0,116.8
441,Josh Hoover,TCU,1,1,100.0,2,2.0,2,0,0,0,116.8
441,Katin Houser,MSU,1,2,50.0,2,1.0,2,0,0,0,58.4
441,Liu Aumavae,SDSU,1,8,12.5,2,0.3,2,0,0,0,14.6
446,Jay Butterfield,ORE,1,1,100.0,1,1.0,1,0,0,0,108.4
446,Connor Cigelske,GASO,1,3,33.3,1,0.3,1,0,0,1,36.1
448,Rontavius Groves,TXST,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Bryce Baringer,MSU,0,1,0.0,0,0.0,0,0,1,0,-200.0
448,Connor Blumrick,VT,0,0,0.0,0,0.0,0,0,0,1,0.0
448,Keytaon Thompson,UVA,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Austin Upshaw,SMU,0,0,0.0,0,0.0,0,0,0,1,0.0
448,Jalen Walker,M-OH,0,0,0.0,0,0.0,0,0,0,1,0.0
448,Toa Taua,NEV,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Chase Brown,ILL,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Brian Cobbs,USU,0,2,0.0,0,0.0,0,0,0,0,0.0
448,Ronnie Bell,MICH,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Jamarye Joiner,ARIZ,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Trae Hall,UNM,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Jordan Byrd,SDSU,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Tauskie Dove,MIZ,0,0,0.0,0,0.0,0,0,0,1,0.0
448,Jadon Haselwood,ARK,0,0,0.0,0,0.0,0,0,0,1,0.0
448,Lance LeGendre,UL,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Davis Allen,CLEM,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Zakhari Franklin,UTSA,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Chase Griffin,UCLA,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Tanner McGee,USA,0,0,0.0,0,0.0,0,0,0,1,0.0
448,Dayton Wade,MISS,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Damon Ward Jr.,UNT,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Antavious Willis,USM,0,0,0.0,0,0.0,0,0,0,1,0.0
448,Jam Griffin,ORST,0,1,0.0,0,0.0,0,0,0,0,0.0
448,TJ Sheffield,PUR,0,0,0.0,0,0.0,0,0,0,1,0.0
448,Myles Price,TTU,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Jared Wayne,PITT,0,1,0.0,0,0.0,0,0,1,0,-200.0
448,Romello Brinson,MIA,0,0,0.0,0,0.0,0,0,0,1,0.0
448,Koy Moore,AUB,0,1,0.0,0,0.0,0,0,1,0,-200.0
448,Cam Peters,UTSA,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Kobe Paysour,UNC,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Nate McCollum,GT,0,1,0.0,0,0.0,0,0,0,0,0.0
448,Brock Vandagriff,UGA,0,2,0.0,0,0.0,0,0,0,0,0.0
448,Deacon Hill,WISC,0,0,0.0,0,0.0,0,0,0,1,0.0
